customerID,gender,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn
CUST-0,Male,1,52,85.43,4442.360000000001,No
CUST-1,Female,0,4,28.0,112.0,No
CUST-2,Male,0,34,44.23,1503.82,No
CUST-3,Male,1,69,97.37,6718.530000000001,No
CUST-4,Male,0,33,72.87,2404.71,No
CUST-5,Female,0,69,112.8,7783.2,No
CUST-6,Male,1,38,62.88,2389.44,No
CUST-7,Male,0,26,106.98,2781.48,No
CUST-8,Male,1,1,64.9,64.9,No
CUST-9,Female,1,4,117.92,471.68,No
CUST-10,Male,0,39,115.98,4523.22,No
CUST-11,Male,1,54,52.91,2857.14,No
CUST-12,Male,0,33,108.59,3583.4700000000003,No
CUST-13,Male,0,33,104.76,3457.0800000000004,Yes
CUST-14,Female,0,20,41.07,821.4,No
CUST-15,Male,1,16,82.43,1318.88,No
CUST-16,Female,0,21,27.27,572.67,No
CUST-17,Female,0,45,103.67,4665.15,Yes
CUST-18,Female,0,62,37.45,2321.9,No
CUST-19,Male,0,31,27.08,839.4799999999999,No
CUST-20,Female,0,42,60.02,2520.84,No
CUST-21,Male,0,12,77.69,932.28,No
CUST-22,Female,0,65,105.49,6856.849999999999,No
CUST-23,Female,0,3,117.42,352.26,Yes
CUST-24,Female,1,9,63.95,575.5500000000001,No
CUST-25,Female,0,51,26.04,1328.04,No
CUST-26,Female,0,16,94.91,1518.56,No
CUST-27,Female,1,3,76.52,229.56,No
CUST-28,Female,0,24,64.79,1554.96,No
CUST-29,Female,1,13,50.93,662.09,No
CUST-30,Male,0,2,70.24,140.48,No
CUST-31,Male,1,71,53.87,3824.77,No
CUST-32,Female,0,21,95.7,2009.7,No
CUST-33,Female,0,19,74.39,1413.41,No
CUST-34,Female,0,47,107.68,5060.96,No
CUST-35,Male,1,22,74.35,1635.6999999999998,No
CUST-36,Female,0,33,43.83,1446.3899999999999,Yes
CUST-37,Male,0,32,105.11,3363.52,Yes
CUST-38,Male,0,64,75.72,4846.08,No
CUST-39,Male,0,39,40.68,1586.52,No
CUST-40,Male,0,42,82.35,3458.7,No
CUST-41,Male,0,9,55.77,501.93,No
CUST-42,Female,1,25,104.44,2611.0,Yes
CUST-43,Female,0,2,65.33,130.66,No
CUST-44,Female,0,19,92.64,1760.16,Yes
CUST-45,Female,0,20,29.55,591.0,No
CUST-46,Female,0,70,59.6,4172.0,No
CUST-47,Male,0,17,118.32,2011.4399999999998,No
CUST-48,Female,0,68,100.85,6857.799999999999,No
CUST-49,Female,0,3,35.99,107.97,Yes
CUST-50,Male,0,51,47.78,2436.78,No
CUST-51,Female,0,26,52.98,1377.48,Yes
CUST-52,Male,1,56,85.04,4762.240000000001,Yes
CUST-53,Female,1,64,95.7,6124.8,Yes
CUST-54,Male,0,8,94.95,759.6,No
CUST-55,Female,1,37,70.99,2626.6299999999997,Yes
CUST-56,Female,0,27,101.08,2729.16,No
CUST-57,Male,0,45,63.71,2866.95,No
CUST-58,Male,0,4,32.39,129.56,No
CUST-59,Male,0,37,76.44,2828.2799999999997,Yes
CUST-60,Male,0,71,115.23,8181.33,Yes
CUST-61,Male,0,33,99.3,3276.9,No
CUST-62,Male,0,31,77.87,2413.9700000000003,No
CUST-63,Male,0,55,84.68,4657.400000000001,Yes
CUST-64,Male,0,12,113.06,1356.72,No
CUST-65,Female,0,11,62.83,691.13,No
CUST-66,Female,0,32,53.14,1700.48,No
CUST-67,Male,0,57,117.72,6710.04,No
CUST-68,Female,1,38,106.34,4040.92,No
CUST-69,Female,1,60,52.3,3138.0,No
CUST-70,Female,0,19,66.38,1261.2199999999998,No
CUST-71,Female,1,56,61.51,3444.56,No
CUST-72,Male,0,14,34.91,488.73999999999995,No
CUST-73,Female,0,33,115.78,3820.7400000000002,No
CUST-74,Male,0,10,60.43,604.3,No
CUST-75,Female,0,64,107.53,6881.92,Yes
CUST-76,Female,1,64,38.94,2492.16,Yes
CUST-77,Female,0,62,74.79,4636.9800000000005,No
CUST-78,Male,0,68,22.4,1523.1999999999998,No
CUST-79,Female,0,43,96.42,4146.06,No
CUST-80,Male,0,59,78.09,4607.31,No
CUST-81,Female,1,52,82.56,4293.12,No
CUST-82,Male,0,19,25.17,478.23,Yes
CUST-83,Female,0,21,41.1,863.1,No
CUST-84,Male,0,22,27.43,603.46,No
CUST-85,Male,0,9,48.89,440.01,No
CUST-86,Female,0,9,82.74,744.66,No
CUST-87,Male,0,27,76.62,2068.7400000000002,Yes
CUST-88,Female,0,17,81.21,1380.57,No
CUST-89,Female,0,44,74.93,3296.92,No
CUST-90,Female,1,45,47.3,2128.5,Yes
CUST-91,Female,1,8,44.45,355.6,No
CUST-92,Female,0,18,33.71,606.78,No
CUST-93,Female,0,33,104.91,3462.0299999999997,No
CUST-94,Female,0,1,81.65,81.65,No
CUST-95,Female,0,6,38.65,231.89999999999998,No
CUST-96,Female,0,41,37.72,1546.52,No
CUST-97,Female,0,55,107.3,5901.5,Yes
CUST-98,Female,0,5,94.27,471.34999999999997,No
CUST-99,Male,0,59,85.94,5070.46,Yes
CUST-100,Male,0,18,60.69,1092.42,No
CUST-101,Female,0,49,46.2,2263.8,No
CUST-102,Female,0,65,117.95,7666.75,No
CUST-103,Female,0,54,99.72,5384.88,No
CUST-104,Female,0,61,50.18,3060.98,Yes
CUST-105,Female,0,8,104.76,838.08,No
CUST-106,Female,0,3,95.89,287.67,No
CUST-107,Female,0,25,49.71,1242.75,No
CUST-108,Female,0,69,62.66,4323.54,No
CUST-109,Male,0,55,38.6,2123.0,No
CUST-110,Female,1,40,31.11,1244.4,No
CUST-111,Male,0,50,92.28,4614.0,No
CUST-112,Female,0,33,46.75,1542.75,No
CUST-113,Female,0,18,102.01,1836.18,No
CUST-114,Male,0,57,119.56,6814.92,No
CUST-115,Female,0,16,27.66,442.56,No
CUST-116,Male,0,38,67.3,2557.4,Yes
CUST-117,Female,0,41,100.21,4108.61,No
CUST-118,Female,1,7,98.9,692.3000000000001,No
CUST-119,Male,0,53,96.0,5088.0,No
CUST-120,Female,0,63,54.9,3458.7,Yes
CUST-121,Male,1,32,65.39,2092.48,No
CUST-122,Female,0,38,79.5,3021.0,Yes
CUST-123,Male,1,22,117.39,2582.58,No
CUST-124,Male,0,16,52.75,844.0,No
CUST-125,Female,1,52,112.31,5840.12,No
CUST-126,Female,0,29,46.94,1361.26,Yes
CUST-127,Male,0,16,118.91,1902.56,No
CUST-128,Female,0,17,87.03,1479.51,No
CUST-129,Female,0,64,66.35,4246.4,No
CUST-130,Female,0,13,81.34,1057.42,No
CUST-131,Male,0,56,47.25,2646.0,Yes
CUST-132,Male,0,5,47.42,237.10000000000002,No
CUST-133,Male,0,12,31.36,376.32,Yes
CUST-134,Male,0,41,31.41,1287.81,No
CUST-135,Male,0,3,54.77,164.31,No
CUST-136,Male,1,33,96.29,3177.57,No
CUST-137,Male,0,50,80.8,4040.0,No
CUST-138,Male,1,56,30.26,1694.5600000000002,No
CUST-139,Male,0,9,105.22,946.98,No
CUST-140,Female,0,50,80.14,4007.0,No
CUST-141,Male,0,29,116.09,3366.61,No
CUST-142,Female,0,39,87.02,3393.7799999999997,No
CUST-143,Female,0,45,37.52,1688.4,No
