gender,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn
Male,1,52,85.43,4442.360000000001,0
Female,0,4,28.0,112.0,0
Male,0,34,44.23,1503.82,0
Male,1,69,97.37,6718.530000000001,0
Male,0,33,72.87,2404.71,0
Female,0,69,112.8,7783.2,0
Male,1,38,62.88,2389.44,0
Male,0,26,106.98,2781.48,0
Male,1,1,64.9,64.9,0
Female,1,4,117.92,471.68,0
Male,0,39,115.98,4523.22,0
Male,1,54,52.91,2857.14,0
Male,0,33,108.59,3583.4700000000003,0
Male,0,33,104.76,3457.0800000000004,1
Female,0,20,41.07,821.4,0
Male,1,16,82.43,1318.88,0
Female,0,21,27.27,572.67,0
Female,0,45,103.67,4665.15,1
Female,0,62,37.45,2321.9,0
Male,0,31,27.08,839.4799999999999,0
Female,0,42,60.02,2520.84,0
Male,0,12,77.69,932.28,0
Female,0,65,105.49,6856.849999999999,0
Female,0,3,117.42,352.26,1
Female,1,9,63.95,575.5500000000001,0
Female,0,51,26.04,1328.04,0
Female,0,16,94.91,1518.56,0
Female,1,3,76.52,229.56,0
Female,0,24,64.79,1554.96,0
Female,1,13,50.93,662.09,0
Male,0,2,70.24,140.48,0
Male,1,71,53.87,3824.77,0
Female,0,21,95.7,2009.7,0
Female,0,19,74.39,1413.41,0
Female,0,47,107.68,5060.96,0
Male,1,22,74.35,1635.6999999999998,0
Female,0,33,43.83,1446.39,1
Male,0,32,105.11,3363.52,1
Male,0,64,75.72,4846.08,0
Male,0,39,40.68,1586.52,0
Male,0,42,82.35,3458.7,0
Male,0,9,55.77,501.93,0
Female,1,25,104.44,2611.0,1
Female,0,2,65.33,130.66,0
Female,0,19,92.64,1760.16,1
Female,0,20,29.55,591.0,0
Female,0,70,59.6,4172.0,0
Male,0,17,118.32,2011.44,0
Female,0,68,100.85,6857.799999999999,0
Female,0,3,35.99,107.97,1
Male,0,51,47.78,2436.78,0
Female,0,26,52.98,1377.48,1
Male,1,56,85.04,4762.240000000001,1
Female,1,64,95.7,6124.8,1
Male,0,8,94.95,759.6,0
Female,1,37,70.99,2626.63,1
Female,0,27,101.08,2729.16,0
Male,0,45,63.71,2866.95,0
Male,0,4,32.39,129.56,0
Male,0,37,76.44,2828.28,1
Male,0,71,115.23,8181.33,1
Male,0,33,99.3,3276.9,0
Male,0,31,77.87,2413.9700000000003,0
Male,0,55,84.68,4657.400000000001,1
Male,0,12,113.06,1356.72,0
Female,0,11,62.83,691.13,0
Female,0,32,53.14,1700.48,0
Male,0,57,117.72,6710.04,0
Female,1,38,106.34,4040.92,0
Female,1,60,52.3,3138.0,0
Female,0,19,66.38,1261.2199999999998,0
Female,1,56,61.51,3444.56,0
Male,0,14,34.91,488.74,0
Female,0,33,115.78,3820.74,0
Male,0,10,60.43,604.3,0
Female,0,64,107.53,6881.92,1
Female,1,64,38.94,2492.16,1
Female,0,62,74.79,4636.9800000000005,0
Male,0,68,22.4,1523.1999999999998,0
Female,0,43,96.42,4146.06,0
Male,0,59,78.09,4607.31,0
Female,1,52,82.56,4293.12,0
