gender,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,is_long_term,avg_monthly_spend,high_value,senior_high_value,tenure_group
Male,1,52,85.43,4442.360000000001,0,1,85.4135743126322,0,0,49-72
Female,0,4,28.0,112.0,0,0,27.930174563591024,0,0,0-12
Male,0,34,44.23,1503.82,0,1,44.21699500147016,0,0,25-48
Male,1,69,97.37,6718.530000000001,0,1,97.35589045065933,1,1,49-72
Male,0,33,72.87,2404.71,0,1,72.84792487125114,0,0,25-48
Female,0,69,112.8,7783.2,0,1,112.78365454281987,1,0,49-72
Male,1,38,62.88,2389.44,0,1,62.86345698500395,0,0,25-48
Male,0,26,106.98,2781.48,0,1,106.93886966551325,1,0,25-48
Male,1,1,64.9,64.9,0,0,64.25742574257426,0,0,0-12
Female,1,4,117.92,471.68,0,0,117.62593516209478,1,1,0-12
Male,0,39,115.98,4523.22,0,1,115.95026916175341,1,0,25-48
Male,1,54,52.91,2857.14,0,1,52.90020366598778,0,0,49-72
Male,0,33,108.59,3583.4700000000003,0,1,108.55710390790671,1,0,25-48
Male,0,33,104.76,3457.0800000000004,1,1,104.72826416237505,1,0,25-48
Female,0,20,41.07,821.4,0,0,41.04947526236881,0,0,13-24
Male,1,16,82.43,1318.88,0,0,82.3785134291068,0,0,13-24
Female,0,21,27.27,572.67,0,0,27.257020466444548,0,0,13-24
Female,0,45,103.67,4665.15,1,1,103.64696734059098,1,0,25-48
Female,0,62,37.45,2321.9,0,1,37.44396065150782,0,0,49-72
Male,0,31,27.08,839.4799999999999,0,1,27.071267333118346,0,0,25-48
Female,0,42,60.02,2520.84,0,1,60.00571292549394,0,0,25-48
Male,0,12,77.69,932.28,0,0,77.62531223980017,0,0,0-12
Female,0,65,105.49,6856.849999999999,0,1,105.47377326565142,1,0,49-72
Female,0,3,117.42,352.26,1,0,117.02990033222592,1,0,0-12
Female,1,9,63.95,575.5500000000001,0,0,63.87902330743619,0,0,0-12
Female,0,51,26.04,1328.04,0,1,26.034895118604197,0,0,49-72
Female,0,16,94.91,1518.56,0,0,94.85071830106182,1,0,13-24
Female,1,3,76.52,229.56,0,0,76.26578073089702,0,0,0-12
Female,0,24,64.79,1554.96,0,1,64.76301541024573,0,0,13-24
Female,1,13,50.93,662.09,0,0,50.890853189853964,0,0,13-24
Male,0,2,70.24,140.48,0,0,69.8905472636816,0,0,0-12
Male,1,71,53.87,3824.77,0,1,53.86241374454302,0,0,49-72
Female,0,21,95.7,2009.7,0,0,95.6544502617801,1,0,13-24
Female,0,19,74.39,1413.41,0,0,74.35086796422935,0,0,13-24
Female,0,47,107.68,5060.96,0,1,107.6570942352691,1,0,25-48
Male,1,22,74.35,1635.6999999999998,0,0,74.31621990004543,0,0,13-24
Female,0,33,43.83,1446.39,1,1,43.81672220539231,0,0,25-48
Male,0,32,105.11,3363.52,1,1,105.07716338644174,1,0,25-48
Male,0,64,75.72,4846.08,0,1,75.708170598344,0,0,49-72
Male,0,39,40.68,1586.52,0,1,40.66957190463984,0,0,25-48
Male,0,42,82.35,3458.7,0,1,82.33039752439895,0,0,25-48
Male,0,9,55.77,501.93,0,0,55.70810210876804,0,0,0-12
Female,1,25,104.44,2611.0,1,1,104.3982407037185,1,1,25-48
Female,0,2,65.33,130.66,0,0,65.00497512437812,0,0,0-12
Female,0,19,92.64,1760.16,1,0,92.59126775381378,1,0,13-24
Female,0,20,29.55,591.0,0,0,29.535232383808093,0,0,13-24
Female,0,70,59.6,4172.0,0,1,59.591486930438506,0,0,49-72
Male,0,17,118.32,2011.44,0,0,118.25044091710758,1,0,13-24
Female,0,68,100.85,6857.799999999999,0,1,100.83517129833847,1,0,49-72
Female,0,3,35.99,107.97,1,0,35.87043189368771,0,0,0-12
Male,0,51,47.78,2436.78,0,1,47.770633209174676,0,0,49-72
Female,0,26,52.98,1377.48,1,1,52.959630911188,0,0,25-48
Male,1,56,85.04,4762.240000000001,1,1,85.02481699696484,0,0,49-72
Female,1,64,95.7,6124.8,1,1,95.68504921106077,1,1,49-72
Male,0,8,94.95,759.6,0,0,94.83146067415731,1,0,0-12
Female,1,37,70.99,2626.63,1,1,70.97081869764929,0,0,25-48
Female,0,27,101.08,2729.16,0,1,101.04257682339873,1,0,25-48
Male,0,45,63.71,2866.95,0,1,63.695845367696066,0,0,25-48
Male,0,4,32.39,129.56,0,0,32.30922693266833,0,0,0-12
Male,0,37,76.44,2828.28,1,1,76.41934612266955,0,0,25-48
Male,0,71,115.23,8181.33,1,1,115.21377270806927,1,0,49-72
Male,0,33,99.3,3276.9,0,1,99.26991820660407,1,0,25-48
Male,0,31,77.87,2413.9700000000003,0,1,77.84488874556595,0,0,25-48
Male,0,55,84.68,4657.400000000001,1,1,84.66460643519362,0,0,49-72
Male,0,12,113.06,1356.72,0,0,112.96586178184846,1,0,0-12
Female,0,11,62.83,691.13,0,0,62.77293369663942,0,0,0-12
Female,0,32,53.14,1700.48,0,1,53.12339893783193,0,0,25-48
Male,0,57,117.72,6710.04,0,1,117.6993509910542,1,0,49-72
Female,1,38,106.34,4040.92,0,1,106.31202315180217,1,1,25-48
Female,1,60,52.3,3138.0,0,1,52.291284785869024,0,0,49-72
Female,0,19,66.38,1261.2199999999998,0,0,66.34508153603365,0,0,13-24
Female,1,56,61.51,3444.56,0,1,61.4990180324942,0,0,49-72
Male,0,14,34.91,488.74,0,0,34.88508208422555,0,0,13-24
Female,0,33,115.78,3820.74,0,1,115.74492578006665,1,0,25-48
Male,0,10,60.43,604.3,0,0,60.369630369630364,0,0,0-12
Female,0,64,107.53,6881.92,1,1,107.513201062334,1,0,49-72
Female,1,64,38.94,2492.16,1,1,38.933916575535065,0,0,49-72
Female,0,62,74.79,4636.9800000000005,0,1,74.77793904209,0,0,49-72
Male,0,68,22.4,1523.1999999999998,0,1,22.396706366710774,0,0,49-72
Female,0,43,96.42,4146.06,0,1,96.39758195768427,1,0,25-48
Male,0,59,78.09,4607.31,0,1,78.0767666497204,0,0,49-72
Female,1,52,82.56,4293.12,0,1,82.54412612959047,0,0,49-72
Male,0,19,25.17,478.23,1,0,25.156759600210414,0,0,13-24
Female,0,21,41.1,863.1,0,0,41.08043788672061,0,0,13-24
Male,0,22,27.43,603.46,0,0,27.417537482962288,0,0,13-24
Male,0,9,48.89,440.01,0,0,48.83573806881243,0,0,0-12
Female,0,9,82.74,744.66,0,0,82.64816870144284,0,0,0-12
Male,0,27,76.62,2068.74,1,1,76.59163272861902,0,0,25-48
Female,0,17,81.21,1380.57,0,0,81.16225749559082,0,0,13-24
Female,0,44,74.93,3296.92,0,1,74.91297432401727,0,0,25-48
Female,1,45,47.3,2128.5,1,1,47.28949122417241,0,0,25-48
Female,1,8,44.45,355.6,0,0,44.39450686641698,0,0,0-12
Female,0,18,33.71,606.78,0,0,33.69128262076624,0,0,13-24
Female,0,33,104.91,3462.03,0,1,104.87821872159952,1,0,25-48
